SHIMPCONTROLS,0,NAME_SUB,ID_SHIMP,CONTROLABLE_SHIMP,CTRLTYPE_SHIMP,VREGLINELINE_SHIMP,REGBRANCH_SHIMP,REGBRANCHTYPE_SHIMP,REGBRANCHDIRECT_SHIMP,REGBRANCHEND_SHIMP,LOCALOVERRIDE_SHIMP,LOWLEVELOVER_SHIMP,HIGHLEVELOVER_SHIMP,ONLEVEL_SHIMP,OFFLEVEL_SHIMP,PHASESENSE_SHIMP,TIMESCHED_SHIMP,TDELAY_SHIMP,CTRLOVERRIDETYPE_SHIMP,OVERRIDESCHED_SHIMP,LOCALPERM_SHIMP,PERMSCHED_SHIMP,PERMCTRLLEVEL1_SHIMP,PERMCTRLLEVEL2_SHIMP,LOWTLEVELOVER_SHIMP,HIGHTLEVELOVER_SHIMP,REGUSEUNREGULATEDNODE_SHIMP,REGTF_SHIMP
SHIMPCONTROLS,1,SSEE_PASO HONDO,2135_11501724_shunt_impedance_capacitor,0,0,,,,,,FALSE,,,,,,,0,0,,,,,,,,,
SHIMPCONTROLS,1,SAN FELIPE,2135_16896904_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_20971978_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.963,1,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN RAFAEL,2135_21014919_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,,,60,0,,,,,,,,,
SHIMPCONTROLS,1,LAS VEGAS,2135_24948161_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_28817189_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,REÑACA,2135_35842050_shunt_impedance_capacitor,1,2,,,,,,FALSE,,,,,,,1,0,,,,,,,,,
SHIMPCONTROLS,1,SAN ANTONIO,2135_36116964_shunt_impedance_capacitor,1,2,TRUE,,,,,TRUE,1,1.0208,,,AC,,1,1,,,,,,,,,
SHIMPCONTROLS,1,CATEMU,2135_37036044_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,Bosquemar,2135_37671320_shunt_impedance_capacitor,1,6,TRUE,,,,,FALSE,,,0.967,1.017,AC,,60,0,,,,,,,,,
SHIMPCONTROLS,1,CATEMU,2135_39388915_shunt_impedance_capacitor,1,2,TRUE,,,,,TRUE,0.967,1.025,,,AC,,60,1,,,,,,,,,
